de,278796,es
la,128862,es
el,103818,es
en,103113,es
que,53051,es
los,52593,es
del,44329,es
las,35889,es
se,31603,es
por,31387,es
un,26161,es
con,25804,es
una,21911,es
para,19529,es
es,16974,es
no,16106,es
al,15995,es
su,15575,es
como,14161,es
estados,9539,es
lo,9299,es
consultado,7659,es
unidos,7129,es
sus,6811,es
desde,6536,es
esta,6331,es
sobre,6275,es
entre,6095,es
este,5646,es
son,5636,es
estado,5492,es
nacional,5489,es
fue,5219,es
ser,4999,es
sin,4692,es
otros,4543,es
guerra,4542,es
pero,4345,es
parte,3996,es
gobierno,3880,es
si,3873,es
años,3743,es
enero,3661,es
hasta,3472,es
in,3453,es
ha,3429,es
noticias,3411,es
presidente,3348,es
ley,3260,es
dos,3216,es
gran,3164,es
as,2964,es
durante,2953,es
español,2909,es
to,2895,es
sur,2895,es
norte,2839,es
contra,2716,es
ayuda,2715,es
septiembre,2691,es
nueva,2659,es
original,2651,es
tiene,2624,es
junio,2617,es
febrero,2607,es
ya,2602,es
general,2589,es
todo,2534,es
archivado,2515,es
libre,2512,es
vez,2476,es
mayor,2426,es
san,2421,es
año,2385,es
cuando,2384,es
todos,2375,es
primera,2330,es
bajo,2271,es
florida,2261,es
crear,2259,es
le,2231,es
octubre,2227,es
ciudad,2201,es
puede,2181,es
diciembre,2171,es
editar,2115,es
tras,2080,es
mundo,2068,es
ver,2057,es
principal,2057,es
donde,2052,es
personas,2025,es
millones,2025,es
cambios,2017,es
ir,1998,es
tres,1997,es
mar,1995,es
me,1991,es
cuenta,1982,es
cada,1977,es
marzo,1977,es
poder,1972,es
noviembre,1966,es
pueden,1961,es
han,1960,es
forma,1948,es
historia,1936,es
datos,1930,es
derechos,1904,es
aunque,1904,es
proyectos,1901,es
todas,1869,es
uso,1867,es
otras,1864,es
julio,1859,es
comunidad,1858,es
breves,1857,es
mayo,1855,es
ene,1853,es
hay,1845,es
muy,1815,es
caso,1812,es
abril,1800,es
enlaces,1800,es
herramientas,1797,es
internacional,1764,es
estadounidense,1755,es
uno,1739,es
primer,1730,es
era,1715,es
partido,1710,es
menos,1666,es
nuevo,1665,es
mundial,1660,es
agosto,1657,es
mismo,1657,es
brasil,1644,es
hacia,1614,es
fueron,1573,es
territorio,1559,es
siglo,1547,es
nombre,1537,es
argentina,1534,es
identificadores,1531,es
española,1527,es
mientras,1522,es
cual,1517,es
elecciones,1516,es
total,1507,es
acuerdo,1499,es
cualquier,1485,es
solo,1482,es
grandes,1469,es
siguiente,1425,es
enciclopedia,1421,es
antes,1408,es
sido,1405,es
derecho,1401,es
segunda,1381,es
caracas,1374,es
sistema,1374,es
algunos,1374,es
tanto,1369,es
costa,1354,es
centro,1349,es
tiempo,1342,es
civil,1341,es
isla,1315,es
privacidad,1307,es
embargo,1304,es
tienen,1301,es
medio,1298,es
zona,1296,es
francisco,1294,es
lugar,1291,es
idiomas,1291,es
asamblea,1288,es
islas,1287,es
juan,1287,es
estos,1282,es
ese,1272,es
anterior,1271,es
nombres,1268,es
enlace,1252,es
control,1246,es
has,1245,es
esto,1233,es
lengua,1232,es
te,1226,es
ni,1220,es
proyecto,1220,es
libro,1217,es
principales,1212,es
otro,1199,es
central,1198,es
acerca,1194,es
otra,1191,es
oficial,1186,es
militar,1178,es
licencia,1169,es
referencias,1147,es
bien,1133,es
porque,1133,es
permanente,1132,es
sea,1131,es
multimedia,1130,es
hace,1126,es
desarrollo,1121,es
